Rank,Address,NFT_Count,Total_DOLO,Vote_Weight,Earliest_Lock_End,Latest_Lock_End,Token_IDs
59,0xbEE9B9C9e36ECCEB06e4781a99Acc7Dc4Df300dA,1,0,225.0069,,,144
60,0xD248d2f09bFbe04e67fC7Fea08828D6AD6d95B6D,3,0,24343.5926,,,145;4511;14035
61,0x6EdE5522B1C7773E2E5482E52a6bF75ff3B70597,1,0,14.5117,,,147
62,0xe4fD9c650f06E2C09982bA22Ca655b7DfD13fE38,2,0,3929.9091,,,149;16889
63,0xe6f11B9d80183141E0ae7076aED1d95B0C23d6D5,1,0,56.0594,,,150
64,0x39260b9Be6b55b18505C6DD098D7Fe0bb8622101,2,0,2013.5265,,,152;10935
65,0xE610c6de59E10fE84d017B3141F8c0f23a325d30,2,0,1786.5674,,,153;7906
66,0x54d0069ad0984c1489A0394dEA3A14c908940C89,9,0,3002.6702,,,154;16584;16587;16588;19782;19783;20160;21166;21957
67,0xc7d607B77AF577faB47ce552A7036E1e2a44f703,1,0,4.1944,,,155
68,0x3DA0C44465d7b662208Fe6216d17B7f535A472Ad,1,0,20.9157,,,157
69,0xcd92B68b5513936870b12a9ad3F6b15254C2d6D5,2,0,686.0825,,,162;18128
70,0x367b22f56F3b01A4c90D508F9388e9C7Ac06ED67,1,0,73053.5271,,,163
71,0x06ffD2667dC67be9aa59d085CA75e3B98862eaad,1,0,8.7616,,,164
72,0xe11Eb0BC4B34DEa57DcB0b74019Ba05b28B6f91c,1,0,12.9425,,,166
73,0x06E50d319ec347A0fF6fe62dCe48e53Bd8f3b804,1,0,2248.5091,,,168
74,0xe1393bf2220dE2E478Ec00406E73a8d820F4F0ad,1,0,1397.4602,,,173
75,0xAd7a2CbE0a2595D7D0036f49f92B24A688cE9755,1,0,3.7165,,,174
76,0x4E28e714bFC5A292751CB5dcd68C2D66AEf3C7B7,1,0,7.9361,,,176
77,0x1D75a8A1caedA07FB09f40835A22E9B4520e3edC,1,0,56.3857,,,177
78,0x4F2250F76b3d1fDca2b42b305AB37260C6FbE520,1,0,0.5142,,,180
79,0xD9F4DcFe8732d278529d6B9bB26B47A73e2a8872,1,0,11.4643,,,181
80,0x7238b5cf2B20C50fc2e69b1C0c8a7A3647424c53,1,0,0.0006,,,182
81,0x81762E633e2ff343422e65A5D67Ec6AcE60Bbe65,1,0,1.0352,,,183
82,0xAeAA59F7FF11c931AcDdcd73f7C0BBf3120370D1,1,0,455.6201,,,184
83,0x1d8c4d80464270AFB50576CAB66F08a29903747F,1,0,3081.3304,,,185
